callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20BEE,parsed,2#0,,BEE,2#0BEE,,Intermediate,missing-rsl
20BEF,parsed,2#0,,BEF,2#0BEF,,Intermediate,missing-rsl
20BEG,parsed,2#0,,BEG,2#0BEG,,Intermediate,missing-rsl
20BEH,parsed,2#0,,BEH,2#0BEH,,Intermediate,missing-rsl
20BEI,parsed,2#0,,BEI,2#0BEI,,Intermediate,missing-rsl
20BEJ,parsed,2#0,,BEJ,2#0BEJ,,Intermediate,missing-rsl
20BEK,parsed,2#0,,BEK,2#0BEK,,Intermediate,missing-rsl
20BEL,parsed,2#0,,BEL,2#0BEL,,Intermediate,missing-rsl
20BEN,parsed,2#0,,BEN,2#0BEN,,Intermediate,missing-rsl
20BEP,parsed,2#0,,BEP,2#0BEP,,Intermediate,missing-rsl
20BEQ,parsed,2#0,,BEQ,2#0BEQ,,Intermediate,missing-rsl
20BES,parsed,2#0,,BES,2#0BES,,Intermediate,missing-rsl
20BET,parsed,2#0,,BET,2#0BET,,Intermediate,missing-rsl
20BEU,parsed,2#0,,BEU,2#0BEU,,Intermediate,missing-rsl
20BEV,parsed,2#0,,BEV,2#0BEV,,Intermediate,missing-rsl
20BEW,parsed,2#0,,BEW,2#0BEW,,Intermediate,missing-rsl
20BEX,parsed,2#0,,BEX,2#0BEX,,Intermediate,missing-rsl
20BEY,parsed,2#0,,BEY,2#0BEY,,Intermediate,missing-rsl
20BEZ,parsed,2#0,,BEZ,2#0BEZ,,Intermediate,missing-rsl
20BFA,parsed,2#0,,BFA,2#0BFA,,Intermediate,missing-rsl
20BFB,parsed,2#0,,BFB,2#0BFB,,Intermediate,missing-rsl
20BFC,parsed,2#0,,BFC,2#0BFC,,Intermediate,missing-rsl
20BFD,parsed,2#0,,BFD,2#0BFD,,Intermediate,missing-rsl
20BFF,parsed,2#0,,BFF,2#0BFF,,Intermediate,missing-rsl
20BFG,parsed,2#0,,BFG,2#0BFG,,Intermediate,missing-rsl
20BFH,parsed,2#0,,BFH,2#0BFH,,Intermediate,missing-rsl
20BFI,parsed,2#0,,BFI,2#0BFI,,Intermediate,missing-rsl
20BFJ,parsed,2#0,,BFJ,2#0BFJ,,Intermediate,missing-rsl
20BFK,parsed,2#0,,BFK,2#0BFK,,Intermediate,missing-rsl
20BFL,parsed,2#0,,BFL,2#0BFL,,Intermediate,missing-rsl
20BFM,parsed,2#0,,BFM,2#0BFM,,Intermediate,missing-rsl
20BFN,parsed,2#0,,BFN,2#0BFN,,Intermediate,missing-rsl
20BFO,parsed,2#0,,BFO,2#0BFO,,Intermediate,missing-rsl
20BFP,parsed,2#0,,BFP,2#0BFP,,Intermediate,missing-rsl
20BFQ,parsed,2#0,,BFQ,2#0BFQ,,Intermediate,missing-rsl
20BFR,parsed,2#0,,BFR,2#0BFR,,Intermediate,missing-rsl
20BFS,parsed,2#0,,BFS,2#0BFS,,Intermediate,missing-rsl
20BFT,parsed,2#0,,BFT,2#0BFT,,Intermediate,missing-rsl
20BFU,parsed,2#0,,BFU,2#0BFU,,Intermediate,missing-rsl
20BFV,parsed,2#0,,BFV,2#0BFV,,Intermediate,missing-rsl
