callsign,parse_status,prefix_series,rsl,suffix,home_callsign,implied_class,flags
M7CIT,parsed,M7,,CIT,,Foundation,
M7CIU,parsed,M7,,CIU,,Foundation,
M7CIV,parsed,M7,,CIV,,Foundation,
M7CIX,parsed,M7,,CIX,,Foundation,
M7CIY,parsed,M7,,CIY,,Foundation,
M7CIZ,parsed,M7,,CIZ,,Foundation,
M7CJD,parsed,M7,,CJD,,Foundation,
M7CJE,parsed,M7,,CJE,,Foundation,
M7CJH,parsed,M7,,CJH,,Foundation,
M7CJI,parsed,M7,,CJI,,Foundation,
M7CJJ,parsed,M7,,CJJ,,Foundation,
M7CJN,parsed,M7,,CJN,,Foundation,
M7CJO,parsed,M7,,CJO,,Foundation,
M7CJQ,parsed,M7,,CJQ,,Foundation,
