callsign,status,licence_class
20BVE,Allocated,
20BVF,Reserved,
20BVG,Allocated,
20BVH,Allocated,
20BVI,Reserved,
20BVJ,Allocated,
20BVK,Allocated,
20BVL,Reserved,
20BVM,Allocated,
20BVN,Allocated,
20BVO,Allocated,
20BVP,Allocated,
20BVQ,Allocated,
20BVR,Allocated,
20BVS,Allocated,
20BVT,Allocated,
20BVU,Allocated,
20BVV,Allocated,
20BVW,Reserved,
20BVX,Allocated,
20BVY,Allocated,
20BVZ,Allocated,
20BWA,Allocated,
20BWB,Allocated,
20BWC,Allocated,
20BWD,Allocated,
20BWE,Allocated,
20BWF,Allocated,
20BWG,Allocated,
20BWH,Allocated,
20BWI,Allocated,
20BWJ,Allocated,
20BWK,Allocated,
20BWL,Allocated,
20BWM,Allocated,
20BWN,Allocated,
20BWO,Reserved,
20BWP,Allocated,
20BWQ,Allocated,
20BWR,Allocated,
